,address,city_district,geo_lat,geo_lon
2591,"город Москва, Камчатская улица, дом 8",,,
2592,"город Москва, Байкальская улица, дом 44",,,
2593,"город Москва, Камчатская улица, дом 6",,,
2594,"город Москва, Камчатская улица, дом 10",,,
2595,"город Москва, Преображенская площадь, дом 12",,,
2596,"город Москва, Большая Черкизовская улица, дом 6",,,
2597,"город Москва, Мясницкая улица, дом 13, строение 11",Красносельский,55.7626847,37.6330925
2598,"город Москва, Мясницкая улица, дом 13, строение 20",Красносельский,55.7633727,37.6340407
2599,"город Москва, Большая Спасская улица, дом 8, строение 1А",Красносельский,55.7756674,37.6432061
2600,"город Москва, улица Сретенка, дом 32",Красносельский,55.7711901,37.6325797
2601,"город Москва, Большая Спасская улица, дом 11, строение 1",Красносельский,55.7737314,37.6394183
