,address,city_area,city_district,geo_lat,geo_lon,street_with_type,location
2946,"город Москва, микрорайон Северное Чертаново, корпус 809",,Чертаново Северное,,,Чертаново Северное мкр,Чертаново Северное
2947,"город Москва, микрорайон Северное Чертаново, корпус 823",,Чертаново Северное,,,Чертаново Северное мкр,Чертаново Северное
2948,"город Москва, Пятницкий переулок, дом 8, строение 1",Центральный,Замоскворечье,55.7428242,37.6297369,Пятницкий пер,
2949,"город Москва, улица Большая Ордынка, дом 63",Центральный,Замоскворечье,55.7319109,37.6246934,ул Ордынка Б.,
2950,"город Москва, Люсиновская улица, дом 31, строение 2",Центральный,Замоскворечье,55.724496,37.6238661,ул Люсиновская,
2951,"город Москва, Изумрудная улица, дом 3, строение 2",Северо-восточный,Лосиноостровский,55.8695006,37.6781279,ул Изумрудная,
2952,"город Москва, Сверчков переулок, дом 8, строение 1",Центральный,Басманный,55.7602647,37.639907,Сверчков пер,
2953,"город Москва, Вильнюсская улица, дом 5",,Ясенево,,,ул Вильнюсская,Ясенево
2954,"город Москва, улица Космонавтов, дом 15",,Раменское,,,ул Космонавтов,Раменское
2955,"город Москва, улица Малыгина, дом 7",,Лосиноостровский,,,ул Малыгина,Лосиноостровский
2956,"город Москва, улица Бестужевых, дом 1",,Отрадное,,,ул Бестужевых,Отрадное
2957,"город Москва, Дубнинская улица, дом 83А",,Восточное Дегунино,,,ул Дубнинская,Восточное Дегунино
2958,"город Москва, Костромская улица, дом 12Б",Северо-восточный,Алтуфьевский,55.8857088,37.5973175,ул Костромская,
2959,"город Москва, Большая Новодмитровская улица, дом 36, строение 4",Северо-восточный,Бутырский,55.8048331,37.5859922,ул Новодмитровская Б.,
2960,"город Москва, Большая Новодмитровская улица, дом 36, строение 6",Северо-восточный,Бутырский,55.8059147,37.585319,ул Новодмитровская Б.,
2961,"город Москва, Большая Новодмитровская улица, дом 36, строение 9",Северо-восточный,Бутырский,55.805538,37.5844244,ул Новодмитровская Б.,
2962,"город Москва, Осташковский проезд, дом 8, строение 2",Северо-восточный,Лосиноостровский,55.8769724,37.6840579,Осташковский проезд,
2963,"город Москва, Таймырская улица, дом 4",,Лосиноостровский,,,ул Таймырская,Лосиноостровский
2964,"город Москва, улица Образцова, дом 9, строение 2",Северо-восточный,Марьина роща,55.7884866,37.6087517,ул Образцова,
2965,"город Москва, Осенний бульвар, дом 10, корпус 3",Западный,Крылатское,55.7576259,37.4126799,Осенний б-р,
2966,"город Москва, площадь Европы, дом 2",Западный,Дорогомилово,55.7418697,37.5671073,пл Европы,
2967,"город Москва, Пятницкое шоссе, дом 45, корпус 2",Северо-западный,Митино,55.8564662,37.3469145,Пятницкое шоссе,
2968,"город Москва, Домодедовская улица, дом 35, корпус 2",Южный,Орехово-Борисово Южное,55.6017856,37.7170282,ул Домодедовская,
2969,"город Москва, Большая Пироговская улица, дом 27, строение 1",Центральный,Хамовники,55.7301386,37.5679069,ул Пироговская Б.,
2970,"город Москва, Ружейный переулок, дом 6, строение 2",Центральный,Хамовники,55.7437355,37.5808561,Ружейный пер,
2971,"город Москва, Большая Серпуховская улица, дом 4/3",,Замоскворечье,,,ул Серпуховская Б.,Замоскворечье
2972,"город Москва, Петровский бульвар, дом 9, строение 1",Центральный,Тверской,55.7683851,37.614703,Петровский б-р,
2973,"город Москва, Каширский проезд, дом 5",,Нагатино-Садовники,,,Каширский проезд,Нагатино-Садовники
2974,"город Москва, Большой Путинковский переулок, дом 5",Центральный,Тверской,55.7671966,37.6076172,пер Путинковский Б.,
2975,"город Москва, Малый Каретный переулок, дом 11, строение 2",Центральный,Тверской,55.7713882,37.6148001,пер Каретный М.,
2976,"город Москва, Огородный проезд, дом 16, строение 1",Северо-восточный,Бутырский,55.8161427,37.6013015,Огородный проезд,
2977,"город Москва, Осташковский проезд, дом 6, строение 2",Северо-восточный,Лосиноостровский,55.8765819,37.6857091,Осташковский проезд,
2978,"город Москва, Староватутинский проезд, дом 8",,Бабушкинский,,,Староватутинский проезд,Бабушкинский
2979,"город Москва, Стартовая улица, дом 18, строение 2",Северо-восточный,Лосиноостровский,55.8870684,37.6846169,ул Стартовая,
2980,"город Москва, улица Генерала Дорохова, дом 5",,Очаково-Матвеевское,,,ул Генерала Дорохова,Очаково-Матвеевское
2981,"город Москва, Большая Очаковская улица, дом 47А, строение 1",Западный,Очаково-Матвеевское,55.6735553,37.4403747,ул Очаковская Б.,
2982,"город Москва, Инициативная улица, дом 1",,Фили-Давыдково,,,ул Инициативная,Фили-Давыдково
2983,"город Москва, Дорогобужская улица, дом 13",,Можайский,,,ул Дорогобужская,Можайский
2984,"город Москва, Молодогвардейская улица, дом 19, корпус 2",Западный,Кунцево,55.7321431,37.4219279,ул Молодогвардейская,
2985,"город Москва, улица Покрышкина, дом 5",,Тропарёво-Никулино,,,ул Покрышкина,Тропарёво-Никулино
2986,"город Москва, проектируемый проезд № 1980, дом 4",Западный,Очаково-Матвеевское,55.6717262,37.4374228,проезд Проектируемый 1980-й,
2987,"город Москва, Рябиновая улица, дом 41А",,Можайский,,,ул Рябиновая,Можайский
2988,"город Москва, Рябиновая улица, дом 65, строение 1",Западный,Очаково-Матвеевское,55.6803989,37.4337763,ул Рябиновая,
2989,"город Москва, Береговой проезд, дом 4, корпус 3",Западный,Филевский парк,55.7578571,37.5018861,Береговой проезд,
2990,"город Москва, улица Федосьино, владение 4",Западный,Ново-Переделкино,55.6359599,37.3393472,ул Федосьино,
2991,"город Москва, улица Героев Панфиловцев, дом 45, корпус 3",Северо-западный,Северное Тушино,55.8528495,37.4128231,ул Героев Панфиловцев,
2992,"город Москва, улица Барышиха, дом 42, корпус 2",Северо-западный,Митино,55.8553488,37.3457572,ул Барышиха,
2993,"город Москва, Митинская улица, дом 52, корпус 1",Северо-западный,Митино,55.8525683,37.3551565,ул Митинская,
2994,"город Москва, улица Фабрициуса, дом 41",,Южное Тушино,,,ул Фабрициуса,Южное Тушино
2995,"город Москва, Липецкая улица, дом 19",,Липецк,,,ул Липецкая,Липецк
2996,"город Москва, улица Наташи Ковшовой, дом 8, корпус 1",Западный,Очаково-Матвеевское,55.6813975,37.4489303,ул Наташи Ковшовой,
2997,"город Москва, улица Скульптора Мухиной, дом 13",,Ново-Переделкино,,,ул Скульптора Мухиной,Ново-Переделкино
2998,"город Москва, Митинская улица, дом 48, корпус 2",Северо-западный,Митино,55.8507941,37.3576718,ул Митинская,
2999,"город Москва, Ореховый бульвар, дом 24, корпус 1Г",Южный,Зябликово,55.61263,37.7468499,Ореховый б-р,
3000,"город Москва, улица 1905 Года, дом 2, строение 1",Центральный,Пресненский,55.7552981,37.5601542,ул 1905 года,
3001,"город Москва, Боровское шоссе, дом 31",Западный,Ново-Переделкино,55.6424406,37.3615882,Боровское шоссе,
3002,"город Москва, Новоорловская улица, дом 5А",Западный,Ново-Переделкино,55.6360802,37.3639525,ул Новоорловская,
3003,"город Москва, Большой Трёхгорный переулок, дом 3, строение 1",Центральный,Пресненский,55.7592648,37.5631715,пер Трехгорный Б.,
3004,"город Москва, Моховая улица, дом 11, строение 3",Центральный,Тверской,55.7566796,37.61028,ул Моховая,
3005,"город Москва, Поварская улица, дом 52/55, строение 1",Центральный,Пресненский,55.7582649,37.5868725,ул Поварская,
3006,"город Москва, Поварская улица, дом 52/55, строение 2",Центральный,Пресненский,55.7576243,37.5867948,ул Поварская,
3007,"город Москва, улица Казакова, дом 18, строение 1",Центральный,Басманный,55.762667,37.6685501,ул Казакова,
3008,"город Москва, Красноказарменная улица, дом 14, строение 7",Юго-восточный,Лефортово,55.7539185,37.7076975,ул Красноказарменная,
3009,"город Москва, Красноказарменная улица, дом 17Б",,Лефортово,,,ул Красноказарменная,Лефортово
3010,"город Москва, Красноказарменная улица, дом 12, строение 1",Юго-восточный,Лефортово,55.7554175,37.6994295,ул Красноказарменная,
3011,"город Москва, Красноказарменная улица, дом 13, строение 3",Юго-восточный,Лефортово,55.7559707,37.7044064,ул Красноказарменная,
3012,"город Москва, Красноказарменная улица, дом 17, строение 1Ж",Юго-восточный,Лефортово,55.7549647,37.7099688,ул Красноказарменная,
3013,"город Москва, Красноказарменная улица, дом 14, строение 3",Юго-восточный,Лефортово,55.753392,37.7092289,ул Красноказарменная,
3014,"город Москва, Красноказарменная улица, дом 14, строение 1",Юго-восточный,Лефортово,55.7534557,37.7082103,ул Красноказарменная,
3015,"город Москва, Красноказарменная улица, дом 13, строение 1",Юго-восточный,Лефортово,55.7566665,37.7031545,ул Красноказарменная,
3016,"город Москва, Красноказарменная улица, дом 14, строение 1А",Юго-восточный,Лефортово,55.7543841,37.7067306,ул Красноказарменная,
